model_name,price,manufacturing_year,engine_capacity,spare_key,transmission,km_driven,ownership,fuel_type,imperfections,repainted_parts
2012 Maruti Swift Dzire VDI,450000,2012,1248,Yes,Manual,100146,1,DIESEL,31,9
2016 Maruti Ciaz ZXI+,678000,2016,1373,No,Manual,68828,1,PETROL,9,0
Volkswagen Polo,767000,2019,1197,Yes,Manual,47613,1,PETROL,8,2
2017 Maruti Ciaz ZXI+ AT,639000,2017,1373,No,Automatic,73371,1,PETROL,8,2
Hyundai GRAND I10 NIOS,614000,2022,1197,Yes,Manual,15122,1,PETROL,8,2
Toyota Etios,670000,2013,1197,Yes,Manual,63020,1,DIESEL,8,2
Honda City,917000,2015,1197,Yes,Manual,33488,1,PETROL,8,2
2023 Maruti Dzire ZXI AMT,829000,2023,1197,Yes,Automatic,10289,1,PETROL,1,0
Maruti S Cross,1021000,2020,1197,Yes,Manual,5574,1,PETROL,8,2
Renault Kwid,466000,2022,1197,Yes,Manual,19410,1,PETROL,8,2
Hyundai Grand i10,427000,2014,1197,Yes,Manual,46473,1,PETROL,8,2
2019 Maruti Celerio ZXI,460000,2019,998,No,Manual,69332,1,PETROL,15,2
Tata Tiago,448000,2020,1197,Yes,Manual,30525,1,PETROL,8,2
2015 Maruti Alto K10 VXI,243000,2015,998,No,Manual,51243,2,PETROL,6,1
Hyundai Grand i10,447000,2015,1197,Yes,Manual,101356,2,PETROL,8,2
Hyundai i10,277000,2011,1197,Yes,Manual,41446,2,PETROL,8,2
Renault TRIBER,794000,2022,1197,Yes,Manual,4196,1,PETROL,8,2
2018 Maruti Alto K10 VXI,308000,2018,998,Yes,Manual,52966,1,PETROL,8,3
Maruti Wagon R 1.0,327000,2014,1197,Yes,Manual,53706,1,PETROL,8,2
Maruti Alto K10,248000,2011,1197,Yes,Manual,68730,2,PETROL,8,2
Skoda SLAVIA,1544000,2022,1197,Yes,Manual,5377,2,PETROL,8,2
Maruti S Cross,645000,2017,1197,Yes,Manual,70930,1,DIESEL,8,2
Maruti Celerio,373000,2014,1197,Yes,Manual,45462,1,CNG,8,2
Maruti Swift,636000,2018,1197,Yes,Manual,95774,1,PETROL,8,2
Maruti Celerio X,492000,2018,1197,Yes,Manual,57744,1,PETROL,8,2
Maruti S Cross,629000,2017,1197,Yes,Manual,113791,2,DIESEL,8,2
Maruti Swift,642000,2019,1197,Yes,Manual,52720,1,PETROL,8,2
Honda City,409000,2015,1197,Yes,Manual,89150,1,PETROL,8,2
Skoda Rapid,687800,2017,1197,Yes,Manual,104774,1,DIESEL,8,2
Renault TRIBER,612000,2019,1197,Yes,Manual,32435,1,PETROL,8,2
Maruti Ciaz,697000,2018,1197,Yes,Manual,63411,2,PETROL,8,2
Tata Tiago,667000,2021,1197,Yes,Manual,12060,1,PETROL,8,2
Hyundai AURA,649000,2020,1197,Yes,Manual,42009,1,PETROL,8,2
Maruti S PRESSO,366000,2019,1197,Yes,Manual,55685,2,PETROL,8,2
Maruti Wagon R 1.0,307000,2012,1197,Yes,Manual,113543,2,PETROL,8,2
Maruti New Wagon-R,519000,2019,1197,Yes,Manual,53085,1,CNG,8,2
Hyundai VENUE,823400,2019,1197,Yes,Manual,47411,1,PETROL,8,2
Hyundai Verna,529000,2018,1197,Yes,Manual,87113,1,PETROL,8,2
Maruti Celerio,462000,2018,1197,Yes,Manual,52080,2,PETROL,8,2
Toyota URBAN CRUISER,929000,2021,1197,Yes,Manual,58765,1,PETROL,8,2
Volkswagen Vento,1225000,2021,1197,Yes,Manual,18837,1,PETROL,8,2
Maruti Wagon R 1.0,311000,2015,1197,Yes,Manual,26677,1,PETROL,8,2
Maruti Ritz,376000,2011,1197,Yes,Manual,124712,1,DIESEL,8,2
Maruti Wagon R 1.0,322000,2014,1197,Yes,Manual,40679,1,PETROL,8,2
2013 Maruti Wagon R 1.0 VXI,322000,2013,998,Yes,Manual,29532,2,PETROL,10,3
Hyundai Grand i10,428000,2016,1197,Yes,Manual,52838,2,PETROL,8,2
Hyundai Elite i20,601000,2015,1197,Yes,Manual,102887,1,PETROL,8,2
Hyundai NEW SANTRO,555000,2018,1197,Yes,Manual,49258,1,CNG,8,2
Maruti Vitara Brezza,698000,2017,1197,Yes,Manual,67957,1,DIESEL,8,2
Maruti Celerio,386000,2015,1197,Yes,Manual,70670,1,PETROL,8,2
Maruti Alto,423000,2020,1197,Yes,Manual,25115,1,CNG,8,2
Honda City,873000,2015,1197,Yes,Manual,28765,1,DIESEL,8,2
2020 Maruti S PRESSO LXI,332000,2020,998,No,Manual,26213,2,PETROL,14,4
Hyundai Grand i10,406000,2015,1197,Yes,Manual,32895,1,PETROL,8,2
Renault Kwid,443000,2018,1197,Yes,Manual,11271,1,PETROL,8,2
Maruti S Cross,960000,2020,1197,Yes,Manual,23634,1,PETROL,8,2
Maruti Wagon R 1.0,441000,2017,1197,Yes,Manual,88004,1,PETROL,8,2
Mahindra Thar,1585000,2021,1197,Yes,Manual,9087,1,PETROL,8,2
Tata Tiago,445000,2016,1197,Yes,Manual,61415,2,PETROL,8,2
Honda Brio,309000,2013,1197,Yes,Manual,64551,1,PETROL,8,2
Honda Brio,264000,2012,1197,Yes,Manual,53300,2,PETROL,8,2
Maruti Alto K10,199650,2011,1197,Yes,Manual,52946,2,PETROL,8,2
Hyundai GRAND I10 NIOS,570000,2021,1197,Yes,Manual,11713,1,PETROL,8,2
2018 Maruti Alto 800 LXI,278000,2018,796,No,Manual,89267,1,PETROL,19,9
Renault Kwid,323000,2019,1197,Yes,Manual,37025,1,PETROL,8,2
2018 Maruti Celerio ZXI AMT (O),445000,2018,998,Yes,Automatic,80488,2,PETROL,10,6
Maruti Alto 800,268000,2017,1197,Yes,Manual,121145,1,PETROL,8,2
