model_name,price,manufacturing_year,engine_capacity,spare_key,transmission,km_driven,ownership,fuel_type,imperfections,repainted_parts
Maruti S Cross,1099000,2020,1197,Yes,Manual,11063,1,PETROL,8,2
Maruti Celerio,413000,2015,1197,Yes,Manual,46642,1,PETROL,8,2
2014 Maruti Wagon R 1.0 LXI CNG,356000,2014,998,Yes,Manual,65835,1,CNG,15,11
Maruti Baleno,642000,2016,1197,Yes,Manual,48042,1,PETROL,8,2
Hyundai Elite i20,587000,2018,1197,Yes,Manual,48250,1,PETROL,8,2
Hyundai Verna,517000,2013,1197,Yes,Manual,97451,1,PETROL,8,2
Honda City,945000,2021,1197,Yes,Manual,15992,1,PETROL,8,2
Honda WR-V,625000,2018,1197,Yes,Manual,37160,1,PETROL,8,2
2022 Maruti S PRESSO VXI (O) CNG,488000,2022,998,No,Manual,31772,1,CNG,3,0
Hyundai NEW I20,797000,2021,1197,Yes,Manual,35529,1,PETROL,8,2
2018 Maruti Eeco 5 STR WITH A/C+HTR,445000,2018,1196,No,Manual,66374,1,PETROL,8,0
2016 Maruti Baleno DELTA CVT PETROL 1.2,471000,2016,1197,Yes,Automatic,56124,1,PETROL,9,4
Datsun Redi Go,352000,2021,1197,Yes,Manual,7685,1,PETROL,8,2
2020 Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,821000,2020,1462,No,Manual,31444,1,PETROL,1,0
Hyundai Creta,853000,2017,1197,Yes,Manual,25273,1,PETROL,8,2
Tata PUNCH,839000,2021,1197,Yes,Manual,24354,1,PETROL,8,2
Maruti Wagon R 1.0,411000,2017,1197,Yes,Manual,31244,1,CNG,8,2
2019 Maruti Alto LXI,321000,2019,796,No,Manual,53567,2,PETROL,9,5
Maruti Swift Dzire,500000,2011,1197,Yes,Manual,57508,1,DIESEL,8,2
Maruti Wagon R 1.0,349000,2014,1197,Yes,Manual,64500,1,CNG,8,2
Maruti Alto 800,299000,2019,1197,Yes,Manual,76615,1,PETROL,8,2
Maruti Wagon R 1.0,378000,2017,1197,Yes,Manual,59340,1,CNG,8,2
Maruti Swift,600000,2019,1197,Yes,Manual,25854,1,PETROL,8,2
Hyundai GRAND I10 NIOS,609000,2021,1197,Yes,Manual,96192,1,CNG,8,2
Maruti Alto,445000,2020,1197,Yes,Manual,27993,1,CNG,8,2
Hyundai Grand i10,480000,2015,1197,Yes,Manual,60197,2,PETROL,8,2
Hyundai i20,307000,2012,1197,Yes,Manual,44786,2,PETROL,8,2
2012 Maruti Wagon R 1.0 LXI,312000,2012,998,No,Manual,76750,1,PETROL,9,8
Maruti Swift,313000,2012,1197,Yes,Manual,45386,1,PETROL,8,2
Volkswagen TIGUAN,1975000,2018,1197,Yes,Manual,92569,1,DIESEL,8,2
2014 Maruti Swift VXI,486000,2014,1197,No,Manual,73239,1,PETROL,15,4
Hyundai VENUE,895000,2022,1197,Yes,Manual,10380,1,PETROL,8,2
Hyundai Grand i10,489000,2017,1197,Yes,Manual,57438,2,PETROL,8,2
Maruti Ertiga,786000,2013,1197,Yes,Manual,80267,1,DIESEL,8,2
KIA SELTOS,1294000,2019,1197,Yes,Manual,78396,1,PETROL,8,2
Maruti Swift,705000,2019,1197,Yes,Manual,48168,1,PETROL,8,2
Honda Civic,486000,2019,1197,Yes,Manual,44304,2,PETROL,8,2
Datsun Go Plus,503000,2019,1197,Yes,Manual,23700,1,PETROL,8,2
Toyota Corolla Altis,944000,2017,1197,Yes,Manual,96186,3,CNG,8,2
Maruti Alto K10,337000,2018,1197,Yes,Manual,53237,1,PETROL,8,2
Hyundai VENUE,988000,2019,1197,Yes,Manual,12234,1,PETROL,8,2
Renault Kwid,483000,2018,1197,Yes,Manual,32016,2,PETROL,8,2
Maruti Alto K10,248000,2012,1197,Yes,Manual,42619,1,PETROL,8,2
Hyundai i20,449000,2014,1197,Yes,Manual,96999,1,PETROL,8,2
Volkswagen Ameo,332000,2019,1197,Yes,Manual,45542,1,PETROL,8,2
Maruti Ertiga,548000,2015,1197,Yes,Manual,89315,1,PETROL,8,2
Maruti Ciaz,593000,2016,1197,Yes,Manual,83736,2,DIESEL,8,2
Hyundai Grand i10,456000,2019,1197,Yes,Manual,19069,2,PETROL,8,2
Renault Kwid,345000,2018,1197,Yes,Manual,57389,1,PETROL,8,2
Maruti IGNIS,488000,2020,1197,Yes,Manual,11195,1,PETROL,8,2
Maruti Alto,230000,2011,1197,Yes,Manual,41014,1,PETROL,8,2
Maruti Celerio,439000,2015,1197,Yes,Manual,17140,1,PETROL,8,2
2020 Maruti S PRESSO VXI CNG,401000,2020,998,No,Manual,66992,1,CNG,4,2
Mahindra Thar,1452000,2021,1197,Yes,Manual,10843,1,PETROL,8,2
Mahindra TUV300,817000,2017,1197,Yes,Manual,58157,1,DIESEL,8,2
2019 Maruti Baleno ZETA CVT PETROL 1.2,718000,2019,1197,Yes,Automatic,86198,1,PETROL,20,7
2021 Maruti Vitara Brezza VXI AT SHVS,837000,2021,1462,Yes,Automatic,29125,2,PETROL,3,0
Maruti Alto 800,350000,2018,1197,Yes,Manual,23563,1,PETROL,8,2
2012 Maruti Alto K10 VXI,254000,2012,998,Yes,Manual,71979,1,PETROL,8,4
Honda Jazz,535000,2016,1197,Yes,Manual,56621,1,PETROL,8,2
Hyundai GRAND I10 NIOS,636000,2019,1197,Yes,Manual,85747,1,PETROL,8,2
Maruti Baleno,524000,2019,1197,Yes,Manual,39959,1,PETROL,8,2
Maruti Alto 800,346000,2018,1197,Yes,Manual,20539,1,PETROL,8,2
Honda City,588000,2016,1197,Yes,Manual,101603,1,PETROL,8,2
Tata ALTROZ,802000,2021,1197,Yes,Manual,52134,1,PETROL,8,2
Toyota Camry,1122000,2015,1197,Yes,Manual,66467,1,PETROL,8,2
2016 Maruti Vitara Brezza VDI,632000,2016,1248,Yes,Manual,86345,2,DIESEL,0,0
Maruti Wagon R 1.0,374000,2017,1197,Yes,Manual,62162,1,CNG,8,2
Honda Brio,517000,2018,1197,Yes,Manual,42347,1,CNG,8,2
Renault TRIBER,762000,2020,1197,Yes,Manual,26312,1,PETROL,8,2
Hyundai Elite i20,430000,2014,1197,Yes,Manual,69351,1,PETROL,8,2
Hyundai Santro Xing,243000,2013,1197,Yes,Manual,63686,1,CNG,8,2
2016 Maruti Wagon R 1.0 VXI AMT,361000,2016,998,Yes,Automatic,62835,2,PETROL,4,6
Hyundai Elite i20,562000,2016,1197,Yes,Manual,56213,1,PETROL,8,2
2023 Maruti Swift LXI,559000,2023,1197,Yes,Manual,11194,1,PETROL,3,0
Maruti Alto 800,226000,2014,1197,Yes,Manual,8835,1,PETROL,8,2
Hyundai AURA,860000,2020,1197,Yes,Manual,95612,1,PETROL,8,2
Maruti Vitara Brezza,574000,2016,1197,Yes,Manual,79819,2,DIESEL,8,2
Maruti Alto,336000,2020,1197,Yes,Manual,13864,1,PETROL,8,2
Honda Brio,373000,2015,1197,Yes,Manual,41595,2,PETROL,8,2
2021 Maruti Baleno ZETA CVT PETROL 1.2,779000,2021,1197,Yes,Automatic,14683,1,PETROL,1,0
Honda Jazz,672000,2018,1197,Yes,Manual,40622,1,PETROL,8,2
2023 Maruti Alto K10 VXI AMT,567000,2023,998,No,Automatic,3136,1,PETROL,1,0
Maruti Vitara Brezza,694000,2018,1197,Yes,Manual,70167,2,DIESEL,8,2
Maruti Celerio,436000,2016,1197,Yes,Manual,81225,1,PETROL,8,2
Hyundai Grand i10,566000,2019,1197,Yes,Manual,20065,1,PETROL,8,2
Hyundai Elite i20,567000,2017,1197,Yes,Manual,60372,1,PETROL,8,2
Honda City,370000,2012,1197,Yes,Manual,46903,1,PETROL,8,2
Hyundai Grand i10,442000,2017,1197,Yes,Manual,92995,2,PETROL,8,2
2014 Maruti Wagon R 1.0 VXI,338000,2014,998,Yes,Manual,76186,1,PETROL,9,8
2013 Maruti Ertiga ZXI,513000,2013,1373,Yes,Manual,41016,2,PETROL,14,4
Honda Amaze,799000,2021,1197,Yes,Manual,11799,1,PETROL,8,2
Honda City,589000,2016,1197,Yes,Manual,74819,1,PETROL,8,2
Maruti Swift,523000,2016,1197,Yes,Manual,81685,1,PETROL,8,2
2015 Maruti Swift Dzire LXI (O),392000,2015,1197,No,Manual,27571,1,PETROL,0,0
2020 Maruti New Wagon-R VXI 1.0 AMT,477000,2020,998,No,Automatic,41307,2,PETROL,9,2
Hyundai Verna,883000,2018,1197,Yes,Manual,46551,1,DIESEL,8,2
Mahindra XUV 3OO,816000,2019,1197,Yes,Manual,38035,1,DIESEL,8,2
Honda Amaze,397000,2013,1197,Yes,Manual,120332,1,PETROL,8,2
Honda Amaze,959000,2016,1197,Yes,Manual,20404,1,PETROL,8,2
Maruti Swift,538000,2014,1197,Yes,Manual,35225,1,PETROL,8,2
Honda Amaze,504000,2016,1197,Yes,Manual,86894,1,PETROL,8,2
Renault Duster,446000,2014,1197,Yes,Manual,59943,1,PETROL,8,2
Mahindra Scorpio,1611000,2021,1197,Yes,Manual,27153,1,DIESEL,8,2
Hyundai Verna,686000,2021,1197,Yes,Manual,41884,1,PETROL,8,2
Maruti Baleno,548000,2017,1197,Yes,Manual,27985,1,PETROL,8,2
Hyundai Grand i10,460000,2016,1197,Yes,Manual,53162,1,PETROL,8,2
Maruti Alto K10,233000,2013,1197,Yes,Manual,82482,3,PETROL,8,2
Maruti Vitara Brezza,865000,2019,1197,Yes,Manual,85358,1,DIESEL,8,2
Maruti Ciaz,817000,2018,1197,Yes,Manual,15562,1,PETROL,8,2
2018 Maruti Wagon R 1.0 VXI,380000,2018,998,No,Manual,89536,1,CNG,7,5
Maruti IGNIS,523000,2017,1197,Yes,Manual,34281,1,PETROL,8,2
Renault Kwid,424000,2018,1197,Yes,Manual,22865,1,PETROL,8,2
Maruti Wagon R 1.0,420000,2017,1197,Yes,Manual,14658,1,PETROL,8,2
Maruti S PRESSO,518000,2022,1197,Yes,Manual,12860,1,PETROL,8,2
Maruti Celerio,412000,2017,1197,Yes,Manual,107963,1,PETROL,8,2
Maruti IGNIS,467000,2018,1197,Yes,Manual,89322,1,CNG,8,2
Maruti Alto K10,336000,2017,1197,Yes,Manual,42668,1,PETROL,8,2
Honda Jazz,605000,2016,1197,Yes,Manual,78782,1,PETROL,8,2
Honda City,680000,2017,1197,Yes,Manual,69587,1,PETROL,8,2
Maruti Swift,677000,2021,1197,Yes,Manual,46960,2,PETROL,8,2
Maruti Alto 800,314000,2017,1197,Yes,Manual,83251,1,PETROL,8,2
Maruti Swift,530000,2017,1197,Yes,Manual,10991,1,PETROL,8,2
Toyota Glanza,759000,2021,1197,Yes,Manual,24378,1,PETROL,8,2
2023 Maruti XL6 ZETA CNG,1225000,2023,1462,Yes,Manual,21141,1,CNG,0,0
Maruti Celerio,461000,2017,1197,Yes,Manual,93039,1,CNG,8,2
2014 Maruti Alto K10 VXI,250000,2014,998,No,Manual,99832,2,PETROL,36,2
Maruti Alto 800,302000,2014,1197,Yes,Manual,80719,1,CNG,8,2
Honda Jazz,389000,2017,1197,Yes,Manual,66075,1,DIESEL,8,2
Volkswagen Polo,527000,2016,1197,Yes,Manual,86431,2,PETROL,8,2
2017 Maruti Swift Dzire ZXI,519000,2017,1197,Yes,Manual,34196,1,PETROL,1,0
Maruti Alto 800,236000,2013,1197,Yes,Manual,32823,1,PETROL,8,2
Renault Kwid,374000,2018,1197,Yes,Manual,40588,1,PETROL,8,2
MG HECTOR,1615000,2019,1197,Yes,Manual,56561,1,DIESEL,8,2
Maruti Wagon R 1.0,471000,2018,1197,Yes,Manual,41338,2,CNG,8,2
Maruti Alto 800,298000,2018,1197,Yes,Manual,42611,1,PETROL,8,2
2020 Maruti Baleno ZETA PETROL 1.2,638000,2020,1197,No,Manual,58346,1,PETROL,1,0
Ford Ecosport,802000,2019,1197,Yes,Manual,43760,1,DIESEL,8,2
Hyundai Verna,757000,2017,1197,Yes,Manual,51947,2,PETROL,8,2
Maruti A Star,164000,2010,1197,Yes,Manual,47148,1,PETROL,8,2
Maruti S PRESSO,491000,2020,1197,Yes,Manual,38169,1,CNG,8,2
Hyundai Elite i20,803000,2020,1197,Yes,Manual,54317,1,PETROL,8,2
2017 Maruti Celerio ZXI (O),447000,2017,998,No,Manual,76079,1,PETROL,16,1
2021 Maruti Swift VXI AMT,635000,2021,1197,No,Automatic,11486,1,PETROL,16,5
Maruti New Wagon-R,592000,2020,1197,Yes,Manual,64212,1,CNG,8,2
Hyundai i20 Active,559000,2018,1197,Yes,Manual,120607,1,PETROL,8,2
Mahindra XUV500,1274000,2016,1197,Yes,Manual,57626,1,DIESEL,8,2
Honda City,623000,2020,1197,Yes,Manual,70764,1,PETROL,8,2
Hyundai Xcent,326000,2015,1197,Yes,Manual,41544,2,PETROL,8,2
2017 Maruti Swift LXI (O),417000,2017,1197,Yes,Manual,42401,1,PETROL,15,1
Honda City,535000,2013,1197,Yes,Manual,49586,2,PETROL,8,2
2019 Maruti Baleno ZETA CVT PETROL 1.2,648000,2019,1197,Yes,Automatic,22779,2,PETROL,2,3
Hyundai Elite i20,579000,2018,1197,Yes,Manual,41245,2,PETROL,8,2
Maruti Alto 800,264000,2017,1197,Yes,Manual,60581,1,PETROL,8,2
2017 Maruti Alto K10 VXI (O) AMT,345000,2017,998,Yes,Automatic,67823,2,PETROL,3,3
Hyundai Grand i10,566000,2019,1197,Yes,Manual,21284,1,PETROL,8,2
Hyundai GRAND I10 NIOS,654000,2019,1197,Yes,Manual,7767,1,PETROL,8,2
Hyundai Creta,1100000,2019,1197,Yes,Manual,80459,1,DIESEL,8,2
Hyundai NEW SANTRO,576000,2019,1197,Yes,Manual,21619,1,CNG,8,2
2023 Maruti BREZZA ZXI SMART HYBRID,1026000,2023,1462,Yes,Manual,8502,2,PETROL,1,0
Honda Jazz,637000,2018,1197,Yes,Manual,75402,2,PETROL,8,2
Maruti Swift,470000,2015,1197,Yes,Manual,75442,2,PETROL,8,2
Honda Jazz,415000,2016,1197,Yes,Manual,45624,2,PETROL,8,2
Maruti Celerio,591000,2021,1197,Yes,Manual,17759,1,PETROL,8,2
Hyundai Grand i10,461000,2016,1197,Yes,Manual,32594,1,PETROL,8,2
Honda Brio,312000,2012,1197,Yes,Manual,110366,1,PETROL,8,2
Hyundai Elite i20,454000,2016,1197,Yes,Manual,97152,1,PETROL,8,2
Hyundai Grand i10,347000,2014,1197,Yes,Manual,125412,1,PETROL,8,2
Hyundai i20,343000,2012,1197,Yes,Manual,70600,2,PETROL,8,2
Hyundai i10,257000,2012,1197,Yes,Manual,52842,2,PETROL,8,2
Renault Kwid,287000,2016,1197,Yes,Manual,57344,1,PETROL,8,2
2013 Maruti Wagon R 1.0 VXI,335000,2013,998,No,Manual,76286,1,PETROL,16,4
Maruti Swift Dzire,1395000,2016,1197,Yes,Manual,9438,1,PETROL,8,2
Hyundai i10,204000,2010,1197,Yes,Manual,77326,1,PETROL,8,2
Maruti New Wagon-R,501000,2021,1197,Yes,Manual,10555,1,PETROL,8,2
Toyota Etios,500000,2015,1197,Yes,Manual,61984,2,DIESEL,8,2
2017 Maruti Baleno ALPHA PETROL 1.2,662000,2017,1197,No,Manual,57040,1,PETROL,10,4
Maruti Swift Dzire,224000,2015,1197,Yes,Manual,106877,1,PETROL,8,2
2018 Maruti Celerio X ZXI AMT,445000,2018,998,No,Automatic,68971,2,PETROL,17,3
Hyundai Xcent,617000,2015,1197,Yes,Manual,114678,1,PETROL,8,2
Hyundai Elite i20,591000,2016,1197,Yes,Manual,77631,1,PETROL,8,2
Hyundai Grand i10,549000,2018,1197,Yes,Manual,46632,1,PETROL,8,2
Honda Amaze,1325000,2014,1197,Yes,Manual,39858,1,PETROL,8,2
Honda City,677000,2019,1197,Yes,Manual,32764,1,PETROL,8,2
Hyundai Eon,327000,2016,1197,Yes,Manual,33476,1,PETROL,8,2
2014 Maruti Swift VXI,371000,2014,1197,No,Manual,53120,1,PETROL,5,3
Hyundai Creta,982000,2017,1197,Yes,Manual,61139,2,PETROL,8,2
2014 Maruti Alto 800 LXI,230000,2014,796,No,Manual,92533,2,PETROL,0,0
Honda WR-V,646800,2018,1197,Yes,Manual,77767,2,PETROL,8,2
Maruti Wagon R 1.0,486000,2018,1197,Yes,Manual,10409,1,PETROL,8,2
Renault Kwid,444000,2019,1197,Yes,Manual,12153,1,PETROL,8,2
Maruti Swift Dzire,529000,2014,1197,Yes,Manual,91114,1,DIESEL,8,2
Maruti Swift,593000,2016,1197,Yes,Manual,84469,1,PETROL,8,2
Maruti IGNIS,504000,2020,1197,Yes,Manual,20764,1,PETROL,8,2
Hyundai Elite i20,547000,2015,1197,Yes,Manual,90327,1,DIESEL,8,2
Maruti Swift Dzire,742250,2014,1197,Yes,Manual,4162,1,PETROL,8,2
Honda Brio,255000,2012,1197,Yes,Manual,107156,3,PETROL,8,2
Maruti Ertiga,416000,2012,1197,Yes,Manual,100274,1,DIESEL,8,2
Maruti Baleno,701000,2017,1197,Yes,Manual,28802,1,PETROL,8,2
Hyundai Eon,251000,2016,1197,Yes,Manual,32082,1,PETROL,8,2
Maruti Swift,762000,2022,1197,Yes,Manual,7396,1,PETROL,8,2
Maruti Wagon R 1.0,168000,2010,1197,Yes,Manual,22657,1,PETROL,8,2
Ford Ecosport,710000,2018,1197,Yes,Manual,93671,1,DIESEL,8,2
Honda Jazz,570000,2016,1197,Yes,Manual,50199,2,PETROL,8,2
Hyundai NEW SANTRO,394000,2019,1197,Yes,Manual,38237,2,PETROL,8,2
Volkswagen Polo,697000,2022,1197,Yes,Manual,9205,1,PETROL,8,2
Hyundai Elite i20,723000,2020,1197,Yes,Manual,40556,1,PETROL,8,2
KIA SONET,989000,2021,1197,Yes,Manual,11487,1,PETROL,8,2
Maruti Dzire,606000,2018,1197,Yes,Manual,91932,1,DIESEL,8,2
Renault Kwid,268000,2016,1197,Yes,Manual,101471,2,PETROL,8,2
Honda WR-V,835000,2017,1197,Yes,Manual,62997,1,DIESEL,8,2
2015 Maruti Ertiga VXI CNG,601000,2015,1373,No,Manual,52143,3,CNG,18,5
Renault TRIBER,761000,2022,1197,Yes,Manual,26457,1,PETROL,8,2
2020 Maruti Celerio VXI (O) CNG,565000,2020,998,Yes,Manual,40609,1,CNG,6,4
Hyundai NEW I20,828000,2020,1197,Yes,Manual,36716,2,PETROL,8,2
Nissan MAGNITE,568000,2021,1197,Yes,Manual,40592,1,PETROL,8,2
Maruti Ciaz,658000,2021,1197,Yes,Manual,60940,1,PETROL,8,2
Hyundai NEW SANTRO,483000,2019,1197,Yes,Manual,24043,1,PETROL,8,2
2015 Maruti Wagon R 1.0 VXI,336000,2015,998,Yes,Manual,49078,2,PETROL,20,0
2012 Maruti A Star VXI,261000,2012,998,No,Manual,71079,1,PETROL,13,0
2019 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,898000,2019,1462,No,Automatic,29041,2,PETROL,2,1
2017 Maruti Baleno ZETA CVT PETROL 1.2,631000,2017,1197,No,Automatic,78967,1,PETROL,11,7
Hyundai NEW SANTRO,362000,2020,1197,Yes,Manual,21668,1,PETROL,8,2
Maruti Ciaz,422000,2018,1197,Yes,Manual,45297,1,PETROL,8,2
Maruti Baleno,675000,2020,1197,Yes,Manual,54205,1,PETROL,8,2
Renault Duster,868000,2017,1197,Yes,Manual,60965,1,DIESEL,8,2
Maruti Baleno,531000,2016,1197,Yes,Manual,51002,2,PETROL,8,2
Hyundai Xcent,681000,2015,1197,Yes,Manual,99625,1,CNG,8,2
Hyundai Elite i20,547000,2017,1197,Yes,Manual,25440,1,PETROL,8,2
Maruti Wagon R 1.0,423000,2016,1197,Yes,Manual,58760,1,PETROL,8,2
Volkswagen Ameo,686000,2018,1197,Yes,Manual,84296,2,CNG,8,2
Ford FREESTYLE,606000,2021,1197,Yes,Manual,57662,1,PETROL,8,2
Maruti Celerio,432000,2015,1197,Yes,Manual,83408,1,CNG,8,2
Honda City,557000,2014,1197,Yes,Manual,36222,2,PETROL,8,2
Tata ALTROZ,748000,2021,1197,Yes,Manual,49819,1,PETROL,8,2
Maruti Ritz,315000,2014,1197,Yes,Manual,32907,2,PETROL,8,2
Maruti IGNIS,498000,2017,1197,Yes,Manual,88087,2,CNG,8,2
Hyundai VENUE,1050000,2020,1197,Yes,Manual,68413,1,PETROL,8,2
Hyundai Xcent,310000,2015,1197,Yes,Manual,101643,2,DIESEL,8,2
Maruti Dzire,325000,2019,1197,Yes,Manual,99500,1,PETROL,8,2
Maruti Celerio,388000,2016,1197,Yes,Manual,100882,1,CNG,8,2
2022 Maruti New Wagon-R ZXI 1.2,624000,2022,1197,Yes,Manual,8524,1,PETROL,1,0
Maruti Swift,516000,2015,1197,Yes,Manual,57616,2,PETROL,8,2
Maruti Alto 800,271000,2015,1197,Yes,Manual,73944,1,PETROL,8,2
Maruti Baleno,723000,2020,1197,Yes,Manual,13069,2,PETROL,8,2
Maruti IGNIS,507000,2017,1197,Yes,Manual,36298,1,PETROL,8,2
Renault Kwid,376000,2017,1197,Yes,Manual,27168,1,PETROL,8,2
2022 Maruti S PRESSO VXI+,473000,2022,998,Yes,Manual,15094,1,PETROL,4,1
Skoda Rapid,725000,2016,1197,Yes,Manual,123662,1,PETROL,8,2
Hyundai NEW SANTRO,521000,2020,1197,Yes,Manual,62978,1,CNG,8,2
2021 Maruti Baleno ZETA CVT PETROL 1.2,763000,2021,1197,Yes,Automatic,31625,1,PETROL,7,3
Hyundai Elite i20,613000,2019,1197,Yes,Manual,81950,1,PETROL,8,2
Maruti Ciaz,717000,2015,1197,Yes,Manual,31093,1,DIESEL,8,2
Hyundai Eon,241000,2013,1197,Yes,Manual,84171,2,PETROL,8,2
Hyundai Elite i20,612000,2016,1197,Yes,Manual,78151,1,DIESEL,8,2
Maruti Baleno,654000,2020,1197,Yes,Manual,22610,1,PETROL,8,2
Maruti Ciaz,566000,2019,1197,Yes,Manual,42423,1,PETROL,8,2
Renault Kiger,889000,2021,1197,Yes,Manual,36390,1,PETROL,8,2
Maruti Baleno,586000,2020,1197,Yes,Manual,29716,1,PETROL,8,2
Hyundai Grand i10,448000,2015,1197,Yes,Manual,89268,2,PETROL,8,2
2016 Maruti Alto 800 LXI,230000,2016,796,No,Manual,89853,1,PETROL,25,7
Maruti Celerio,482000,2018,1197,Yes,Manual,90193,1,CNG,8,2
2019 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,740000,2019,1462,Yes,Automatic,86706,1,PETROL,3,3
Volkswagen Vento,410000,2016,1197,Yes,Manual,83127,2,PETROL,8,2
2012 Maruti Swift Dzire VXI,287000,2012,1197,No,Manual,48618,1,PETROL,29,9
Ford Ecosport,829000,2018,1197,Yes,Manual,64200,2,DIESEL,8,2
Maruti Celerio,387000,2014,1197,Yes,Manual,76329,1,PETROL,8,2
Maruti Alto 800,353000,2017,1197,Yes,Manual,26215,1,PETROL,8,2
2020 Maruti New Wagon-R ZXI 1.2,545000,2020,1197,No,Manual,35706,1,PETROL,10,2
Honda City,526000,2016,1197,Yes,Manual,27955,2,PETROL,8,2
2017 Maruti Swift VXI,453000,2017,1197,Yes,Manual,116084,1,PETROL,0,0
Hyundai Xcent,451000,2014,1197,Yes,Manual,52255,2,DIESEL,8,2
Maruti Swift,465000,2018,1197,Yes,Manual,54309,2,PETROL,8,2
Hyundai GRAND I10 NIOS,746000,2020,1197,Yes,Manual,21360,1,PETROL,8,2
Maruti New Wagon-R,538000,2019,1197,Yes,Manual,29548,1,PETROL,8,2
Toyota Etios,368000,2011,1197,Yes,Manual,75091,1,PETROL,8,2
Hyundai Elite i20,659000,2017,1197,Yes,Manual,69698,2,PETROL,8,2
Maruti Swift,684000,2018,1197,Yes,Manual,38189,2,PETROL,8,2
Hyundai Xcent,536000,2017,1197,Yes,Manual,65109,1,PETROL,8,2
Honda WR-V,648000,2017,1197,Yes,Manual,65148,1,PETROL,8,2
Ford FREESTYLE,524000,2018,1197,Yes,Manual,76196,1,PETROL,8,2
2016 Maruti Wagon R 1.0 VXI AMT,369000,2016,998,Yes,Automatic,21218,1,PETROL,4,4
Maruti IGNIS,541000,2018,1197,Yes,Manual,39817,2,PETROL,8,2
Maruti Baleno,515000,2017,1197,Yes,Manual,68949,2,PETROL,8,2
Maruti Alto 800,338000,2017,1197,Yes,Manual,117467,1,PETROL,8,2
Renault Kwid,396000,2020,1197,Yes,Manual,9339,1,PETROL,8,2
Toyota Etios,270000,2011,1197,Yes,Manual,48489,1,PETROL,8,2
Maruti Ritz,406000,2013,1197,Yes,Manual,54782,1,PETROL,8,2
Renault Kwid,299000,2016,1197,Yes,Manual,48652,2,PETROL,8,2
Hyundai Grand i10,381000,2014,1197,Yes,Manual,102126,1,PETROL,8,2
Renault Kwid,479000,2022,1197,Yes,Manual,14023,1,PETROL,8,2
KIA SELTOS,1567000,2020,1197,Yes,Manual,18651,1,PETROL,8,2
Hyundai Creta,829000,2016,1197,Yes,Manual,88540,1,CNG,8,2
Maruti Swift,462700,2015,1197,Yes,Manual,43563,1,PETROL,8,2
2021 Maruti Baleno DELTA PETROL 1.2,604000,2021,1197,No,Manual,41436,1,PETROL,5,9
Maruti Baleno,645000,2019,1197,Yes,Manual,38368,2,PETROL,8,2
Mahindra XUV500,1082000,2018,1197,Yes,Manual,56519,2,DIESEL,8,2
Ford Ecosport,426000,2016,1197,Yes,Manual,89850,3,DIESEL,8,2
Tata ALTROZ,787000,2020,1197,Yes,Manual,35197,1,DIESEL,8,2
Renault Kwid,388000,2019,1197,Yes,Manual,73578,1,PETROL,8,2
Maruti Wagon R 1.0,265000,2012,1197,Yes,Manual,52633,1,PETROL,8,2
Maruti S PRESSO,401000,2019,1197,Yes,Manual,24194,1,PETROL,8,2
Maruti Celerio X,461000,2018,1197,Yes,Manual,28614,1,PETROL,8,2
Maruti Swift,470000,2012,1197,Yes,Manual,106516,1,DIESEL,8,2
Honda City,862000,2017,1197,Yes,Manual,76320,2,PETROL,8,2
Hyundai Creta,768000,2016,1197,Yes,Manual,34687,1,PETROL,8,2
Hyundai i10,340000,2013,1197,Yes,Manual,78213,2,PETROL,8,2
Maruti Swift,396000,2013,1197,Yes,Manual,77965,1,PETROL,8,2
Honda City,818000,2019,1197,Yes,Manual,52650,1,PETROL,8,2
Hyundai i20,303000,2010,1197,Yes,Manual,61690,1,PETROL,8,2
Hyundai GRAND I10 NIOS,782000,2020,1197,Yes,Manual,12205,1,PETROL,8,2
Hyundai Verna,418000,2016,1197,Yes,Manual,111238,1,PETROL,8,2
Maruti Dzire,356000,2018,1197,Yes,Manual,82058,1,PETROL,8,2
Honda Jazz,467000,2015,1197,Yes,Manual,98051,1,DIESEL,8,2
2017 Maruti Ciaz ZETA 1.4 MT PETROL,642000,2017,1373,Yes,Manual,53155,1,PETROL,6,2
Hyundai Santro Xing,150000,2011,1197,Yes,Manual,94852,1,PETROL,8,2
Maruti Ritz,386000,2014,1197,Yes,Manual,94611,2,PETROL,8,2
2021 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,961000,2021,1462,No,Automatic,57002,1,PETROL,6,3
Hyundai Elite i20,584000,2016,1197,Yes,Manual,49687,2,PETROL,8,2
Hyundai Eon,284000,2015,1197,Yes,Manual,25121,1,PETROL,8,2
2015 Maruti Wagon R 1.0 VXI,349000,2015,998,Yes,Manual,34292,2,PETROL,16,5
Jeep Compass,1103000,2017,1197,Yes,Manual,89464,1,DIESEL,8,2
Hyundai Verna,409000,2018,1197,Yes,Manual,98769,1,PETROL,8,2
Hyundai Elite i20,559000,2016,1197,Yes,Manual,75268,1,PETROL,8,2
2012 Maruti Wagon R 1.0 LXI,256000,2012,998,No,Manual,55994,1,PETROL,20,9
Maruti Wagon R 1.0,396000,2015,1197,Yes,Manual,64984,1,PETROL,8,2
